#LAMMPS data file via write_data, version 2 Apr 2025, timestep = 50000, units = metal

720 atoms
4 atom types
1 bond types
1 angle types

2 extra bond per atom
1 extra angle per atom
2 extra special per atom

-22.470320800269317 22.470320800269317 xlo xhi
-8.579178758211475 8.579178758211475 ylo yhi
-8.491043517346204 8.491043517346204 zlo zhi

Atom Type Labels

1 Si
2 O
3 OW
4 HW

Bond Type Labels

1 OW-HW

Angle Type Labels

1 HW-OW-HW

Masses

1 28.0855
2 15.9994
3 15.9994
4 1.008

Atoms # full

663 0 2 0 14.014896188468718 -6.103384401559489 -7.764373483437778 0 0 -1
646 0 2 0 12.652314806238799 -5.404794141624187 -5.44203965938415 0 1 0
192 0 1 0 13.304248769604925 -5.671766215715457 -4.028917402804013 0 1 0
356 0 2 0 14.217414692980604 -6.978121632767813 -4.2334534878111265 0 0 1
717 0 2 0 14.51748381079129 -4.628745884883393 -3.5072964873874373 0 0 0
414 0 2 0 13.990917305646576 -3.6087897196983594 -6.653563387364521 0 1 2
18 0 1 0 13.173039850084315 -4.920909408913462 -6.936761659700056 0 0 1
101 0 1 0 14.847176899686922 -8.165346859651196 -3.400382491276048 0 1 0
496 0 2 0 12.146838449022596 -7.9350612697320235 -7.4615037079806505 -1 1 0
410 0 2 0 12.201985557412328 -5.78005535669427 -2.879071287667667 -1 1 0
14 0 1 0 11.34749627639524 -3.3114878756142847 8.375735683254435 0 1 0
350 0 2 0 16.555761553238412 -4.567680760263346 -7.952966341118153 0 0 0
404 0 2 0 20.734206901539906 -6.85539314226667 -6.256600835458097 -1 0 0
137 0 1 0 20.532598961053907 -5.325970687484242 -6.621699612823081 0 0 1
682 0 2 0 19.3180814196284 -4.674155022920816 -5.8432436345030405 0 -1 1
103 0 1 0 18.78956602124029 -3.3270400448790163 -5.194599128130487 0 0 0
374 0 2 0 17.51225498057059 -7.095088094036328 -8.076077866395336 -1 0 1
612 0 2 0 17.730804315715368 -6.960806409049573 -5.466619841726638 0 0 0
